	Rk	Pk	Tm	Player	College	Yrs	G	MP	PTS	TRB	AST	FG%	3P%	FT%	MP	PTS	TRB	AST	WS	WS/48	BPM	VORP
0	1	1	CLE	Andrew Wiggins	University of Kansas	5	386	13894	7485	1636	822	.440	.331	.736	36.0	19.4	4.2	2.1	12.9	.045	-2.5	-1.8
1	2	2	MIL	Jabari Parker	Duke University	5	232	6921	3478	1310	491	.489	.339	.741	29.8	15.0	5.6	2.1	11.1	.077	-1.5	0.8
2	3	3	PHI	Joel Embiid	University of Kansas	3	148	4520	3545	1661	453	.480	.314	.790	30.5	24.0	11.2	3.1	15.3	.162	3.0	5.7
3	4	4	ORL	Aaron Gordon	University of Arizona	5	325	8955	3992	1999	669	.450	.315	.704	27.6	12.3	6.2	2.1	16.7	.089	0.1	4.7
4	5	5	UTA	Dante Exum		4	201	3917	1207	354	459	.403	.306	.770	19.5	6.0	1.8	2.3	2.9	.035	-3.1	-1.1
5	6	6	BOS	Marcus Smart	Oklahoma State University	5	326	9271	3022	1165	1278	.368	.308	.761	28.4	9.3	3.6	3.9	15.4	.080	0.6	6.1
6	7	7	LAL	Julius Randle	University of Kentucky	5	298	8435	4463	2648	799	.502	.301	.723	28.3	15.0	8.9	2.7	17.4	.099	-0.4	3.4
7	8	8	SAC	Nik Stauskas	University of Michigan	5	319	6427	2174	657	495	.389	.348	.812	20.1	6.8	2.1	1.6	3.4	.026	-3.3	-2.1
8	9	9	CHH	Noah Vonleh	Indiana University	5	296	5225	1508	1604	224	.453	.318	.682	17.7	5.1	5.4	0.8	8.3	.076	-2.5	-0.7
9	10	10	PHI	Elfrid Payton	University of Louisiana at Lafayette	5	327	9620	3616	1388	2099	.455	.302	.623	29.4	11.1	4.2	6.4	12.3	.062	-0.4	3.9
10	11	11	DEN	Doug McDermott	Creighton University	5	324	6481	2502	700	256	.455	.403	.828	20.0	7.7	2.2	0.8	10.0	.074	-3.0	-1.7
11	12	12	ORL	Dario Saric		3	223	6026	2822	1401	482	.431	.358	.828	27.0	12.7	6.3	2.2	10.3	.082	-0.6	2.2
12	13	13	MIN	Zach LaVine	University of California, Los Angeles	5	289	8634	4620	966	1002	.446	.372	.828	29.9	16.0	3.3	3.5	8.1	.045	-1.6	1.0
13	14	14	PHO	T.J. Warren	North Carolina State University	5	261	7234	3754	1078	293	.497	.340	.766	27.7	14.4	4.1	1.1	13.1	.087	-1.3	1.4
14	15	15	ATL	Adreian Payne	Michigan State University	4	107	1403	429	315	66	.406	.254	.680	13.1	4.0	2.9	0.6	-0.6	-.019	-5.5	-1.2
15	16	16	CHI	Jusuf Nurkic		5	301	6847	3448	2371	564	.491	.075	.661	22.7	11.5	7.9	1.9	15.6	.109	1.2	5.6
16	17	17	BOS	James Young	University of Kentucky	4	95	812	219	96	28	.367	.277	.563	8.5	2.3	1.0	0.3	0.8	.046	-4.0	-0.4
17	18	18	PHO	Tyler Ennis	Syracuse University	4	186	2336	779	250	359	.419	.317	.768	12.6	4.2	1.3	1.9	1.3	.026	-4.6	-1.5
18	19	19	CHI	Gary Harris	Michigan State University	5	294	8370	3684	753	635	.462	.363	.804	28.5	12.5	2.6	2.2	15.5	.089	0.1	4.4
19	20	20	TOR	Bruno Caboclo		5	53	598	167	100	31	.343	.280	.893	11.3	3.2	1.9	0.6	0.1	.011	-3.1	-0.2
