user_login,id,ref,creds,user_id,membership_level,user_name
Yauyau,2,logging_in,10,2,4,Yauyau
Yauyau,2,view_content,5,2,4,Yauyau
Yauyau,2,view_content,5,2,4,Yauyau
Yauyau,2,approved_comment,1,2,4,Yauyau
Yauyau,2,approved_comment,10,2,4,Yauyau
Yauyau,2,approved_comment,10,2,4,Yauyau
lucy,3,logging_in,10,3,2,lucy
chensheng,4,logging_in,10,4,3,chensheng
chensheng,4,view_content,5,4,3,chensheng
chensheng,4,view_content,5,4,3,chensheng
chensheng,4,view_content,5,4,3,chensheng
chensheng,4,view_content,5,4,3,chensheng
Yauyau,2,view_content_author,1,2,4,Yauyau
chensheng,4,view_content,5,4,3,chensheng
chensheng,4,view_content,5,4,3,chensheng
Yauyau,2,view_content_author,1,2,4,Yauyau
chensheng,4,view_content,5,4,3,chensheng
chensheng,4,site_visit,5,4,3,chensheng
chensheng,4,view_content,5,4,3,chensheng
johnon,5,logging_in,10,5,4,johnon
johnon,5,site_visit,5,5,4,johnon
johnon,5,view_content,5,5,4,johnon
Yauyau,2,view_content_author,1,2,4,Yauyau
johnon,5,view_content,5,5,4,johnon
johnon,5,view_content,5,5,4,johnon
lynn,6,logging_in,10,6,3,lynn
lynn,6,site_visit,5,6,3,lynn
lynn,6,view_content,5,6,3,lynn
lynn,6,view_content,5,6,3,lynn
Yauyau,2,view_content_author,1,2,4,Yauyau
lynn,6,view_content,5,6,3,lynn
Yauyau,2,view_content_author,1,2,4,Yauyau
lynn,6,view_content,5,6,3,lynn
lynn,6,view_content,5,6,3,lynn
lynn,6,view_content,5,6,3,lynn
Yauyau,2,view_content_author,1,2,4,Yauyau
lynn,6,view_content,5,6,3,lynn
Yauyau,2,view_content_author,1,2,4,Yauyau
lynn,6,view_content,5,6,3,lynn
Yauyau,2,view_content_author,1,2,4,Yauyau
lynn,6,view_content,5,6,3,lynn
lynn,6,view_content,5,6,3,lynn
lynn,6,view_content,5,6,3,lynn
lynn,6,view_content,5,6,3,lynn
